Listing Name,Price,Room Type,Reviews
Cozy Brownstone Room,59,Private room,27 reviews
Newly renovated historic brownstone,75,Private room,40 reviews
"Cozy&Clean#2, 15 min to Manhattan",66,Private room,24 reviews
Gorgeous 1BR w huge private terrace,99,Entire home/apt ,review
Beautiful Big 1B Brooklyn Apartment,128,Entire home/apt,32 reviews
Sunny room in modern apartment,69,Private room,30 reviews
Spacious room in Brooklyn!,75,Private room,48 reviews
Beautiful 2 Bedroom Townhouse,135,Entire home/apt,31 reviews
Sunny/Cozy 1BD,89,Entire home/apt,43 reviews
beautiful brownstone,130,Entire home/apt,71 reviews
Romantic loft heart of Brooklyn,125,Entire home/apt,28 reviews
Gorgeous Parlor Floor 1BR nr Subway,145,Entire home/apt,28 reviews
"Delightful,Private,Brooklyn studio",99,Private room,147 reviews
Comfy Room in the heart of BK!,50,Private room,22 reviews
Loft 15min. to Manhattan,98,Entire home/apt,50 reviews
Spacious Private Queen Bedroom,80,Private room,21 reviews
Spacious Park Slope brownstone,150,Entire home/apt,26 reviews
The Oasis,135,Private room,34 reviews
Cozy Garden Room w/Garden Access,70,Private room,3 reviews
Spacious room in Brooklyn.,75,Private room,69 reviews
Brownstone parlor floor apartment,115,Entire home/apt,39 reviews
"HUGE, PRIVATE BATH, STEPS FRM TRAIN",100,Private room,21 reviews
"Stay with us, and feel like home.",76,Private room,46 reviews
Peaceful Parlor Floor Apartment,175,Entire home/apt,37 reviews
Four stops to Manhattan!,80,Private room,9 reviews
Ensuite Turquoise Room 1st Floor.,75,Private room,25 reviews
Excellent Private Room Large Window,80,Private room,18 reviews
Modern 2 BR || Bedstuy Chic,150,Entire home/apt,22 reviews
private room/bath in a gorgeous Apt,65,Private room,9 reviews
Brooklyn Garden Apartment,99,Entire home/apt,39 reviews
The Cozy Lodge,130,Private room,22 reviews
A Brooklyn Home Away From Home,60,Private room,80 reviews
"NEW
                    
                      Room in large apt w/ rooftop deck.",50,Private room,0 reviews
Big Cute Room w/Pvt Entry in Duplex,85,Private room,96 reviews
A Cozy Room in a Brooklyn House,65,Private room,43 reviews
Close to Airport and Manhattan!,65,Private room,62 reviews
Large 1 BD APT w Separate Entrance,135,Entire home/apt,24 reviews
"Clean, Modern, Brooklyn Apt",70,Private room,8 reviews
Spacious 2 BR apartment in Bed-Stuy,159,Entire home/apt,52 reviews
Garden Apartment with Private Entry,125,Entire home/apt,50 reviews
BKLYN Brownstone- Glam Getaway!,175,Entire home/apt,30 reviews
Spacious Room in a Brooklyn House,80,Private room,60 reviews
